"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4011","transferData_privateBackend()","","Mon Sep 08 10:25:15 GMT 2025","passed","Mon Sep 08 10:25:19 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_privateBackend"
"","285","Expect the Catalog request to fail if a credential is revoked","","Mon Sep 08 10:25:22 GMT 2025","passed","Mon Sep 08 10:25:22 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","catalogRequest_whenCredentialRevoked"
"","7420","httpPushDataTransfer()","","Mon Sep 08 10:26:59 GMT 2025","passed","Mon Sep 08 10:27:06 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPushEndToEndTest$Dsp08to08","httpPushDataTransfer"
"","713","4.3.3 Verify invalid access token - nbf in future","","Mon Sep 08 10:22:58 GMT 2025","passed","Mon Sep 08 10:22:58 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","verifier_04_03_03_idTokenNbfInFuture"
"","70","Policy is accepted Precedence","","Mon Sep 08 10:23:16 GMT 2025","passed","Mon Sep 08 10:23:16 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","83","5.1 Verifier should accept a valid PresentationResponseMessage","","Mon Sep 08 10:23:00 GMT 2025","passed","Mon Sep 08 10:23:00 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_05_01_presentationResponse_success"
"","54","Policy is accepted Data Frequency","","Mon Sep 08 10:23:16 GMT 2025","passed","Mon Sep 08 10:23:16 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","3127","Run TCK Presentation Flow tests","","Mon Sep 08 10:22:57 GMT 2025","passed","Mon Sep 08 10:23:00 GMT 2025","","org.eclipse.tractusx.edc.tests.tck.dcp.DcpPresentationFlowTest","org.eclipse.tractusx.edc.tests.tck.dcp.DcpPresentationFlowTest","runPresentationFlowTests"
"","41","Policy is accepted Business Partner Group","","Mon Sep 08 10:23:17 GMT 2025","passed","Mon Sep 08 10:23:17 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","3035","Contract policy is fulfilled DataExchangeGovernance use case","","Mon Sep 08 10:25:26 GMT 2025","passed","Mon Sep 08 10:25:29 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","transferData_whenContractPolicyFulfilled"
"","41","Policy is accepted Empty Policy","","Mon Sep 08 10:23:17 GMT 2025","passed","Mon Sep 08 10:23:17 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","6779","transferData_withSuspendResume()","","Mon Sep 08 10:25:53 GMT 2025","passed","Mon Sep 08 10:26:00 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp08to08","transferData_withSuspendResume"
"","24344","transferFile_largeFile(long, Vault) File size bytes: 1073741824","","Mon Sep 08 10:23:24 GMT 2025","passed","Mon Sep 08 10:23:48 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","transferFile_largeFile"
