"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","45","Policy is accepted Contract reference","","Wed Oct 01 08:04:53 GMT 2025","passed","Wed Oct 01 08:04:53 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","2037","transferFile_targetContainerNotExist_shouldFail(Vault)","","Wed Oct 01 08:04:55 GMT 2025","passed","Wed Oct 01 08:04:57 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","transferFile_targetContainerNotExist_shouldFail"
"","144","4.3.3 Verify invalid access token - jti","","Wed Oct 01 08:04:06 GMT 2025","passed","Wed Oct 01 08:04:06 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","verifier_04_03_03_idTokenJtiUsedTwice"
"","2038","transferMultipleFiles()","","Wed Oct 01 08:05:40 GMT 2025","passed","Wed Oct 01 08:05:42 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","transferMultipleFiles"
"","47","4.3.3 Verify invalid access token - iss and sub different","","Wed Oct 01 08:04:05 GMT 2025","passed","Wed Oct 01 08:04:05 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","verifier_04_03_03_idTokenInvalidSub"
"","157","Expect the Catalog request to fail if a credential is expired","","Wed Oct 01 08:06:34 GMT 2025","passed","Wed Oct 01 08:06:35 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","org.eclipse.tractusx.edc.tests.transfer.StsConsumerPullTest","catalogRequest_whenCredentialExpired"
"","31","Policy is accepted Warranty Duration Months","","Wed Oct 01 08:04:54 GMT 2025","passed","Wed Oct 01 08:04:54 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","207","Verify HTTP 200 response and body when refreshing succeeds","","Wed Oct 01 08:04:34 GMT 2025","passed","Wed Oct 01 08:04:34 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","getEdrWithRefresh_success"
"","47","Policy is accepted Exclusive Usage","","Wed Oct 01 08:04:53 GMT 2025","passed","Wed Oct 01 08:04:53 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","73","5.4.3 Verifier should reject Presentations where the holder does not match the credentialSubject.id","","Wed Oct 01 08:04:06 GMT 2025","passed","Wed Oct 01 08:04:06 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_05_04_03_presentationResponse_holderNotEqualSubjectId"
