"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","66","refreshEdr_whenNotAuthorized()","","Fri Mar 06 17:39:50 UTC 2026","passed","Fri Mar 06 17:39:50 UTC 2026","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","refreshEdr_whenNotAuthorized"
"","7896","transferData_withSuspendResume()","","Fri Mar 06 17:42:12 UTC 2026","passed","Fri Mar 06 17:42:20 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_withSuspendResume"
"","41","Policy is not accepted due to missing context ""Affiliates Region (IS_ANY_OF, one element)""","","Fri Mar 06 17:39:37 UTC 2026","passed","Fri Mar 06 17:39:37 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","42","Policy is not accepted due to missing context ""Business Partner Group""","","Fri Mar 06 17:39:38 UTC 2026","passed","Fri Mar 06 17:39:38 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","5028","Verify that the callbacks are invoked when negotiating an EDR","","Fri Mar 06 17:40:13 UTC 2026","passed","Fri Mar 06 17:40:18 UTC 2026","","org.eclipse.tractusx.edc.tests.edrv2.NegotiateEdrTest","org.eclipse.tractusx.edc.tests.edrv2.NegotiateEdrTest","negotiateEdr_shouldInvokeCallbacks"
"","4001","transferData_privateBackend_withConsumerDataPlane()","","Fri Mar 06 17:41:31 UTC 2026","passed","Fri Mar 06 17:41:35 UTC 2026","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_privateBackend_withConsumerDataPlane"
"","317","Provider gets 400 when empty asset selector is used","","Fri Mar 06 17:40:11 UTC 2026","passed","Fri Mar 06 17:40:12 UTC 2026","","org.eclipse.tractusx.edc.tests.validators.EmptyAssetSelectorValidatorTest","org.eclipse.tractusx.edc.tests.validators.EmptyAssetSelectorValidatorTest","shouldFail_whenContractDefinitionHasEmptyAssetSelector"
"","43","Provider gets 400 when no asset selector is used","","Fri Mar 06 17:40:12 UTC 2026","passed","Fri Mar 06 17:40:12 UTC 2026","","org.eclipse.tractusx.edc.tests.validators.EmptyAssetSelectorValidatorTest","org.eclipse.tractusx.edc.tests.validators.EmptyAssetSelectorValidatorTest","shouldFail_whenContractDefinitionHasNoAssetSelector"
"","65","Policy is accepted ""Affiliates BPNL""","","Fri Mar 06 17:39:34 UTC 2026","passed","Fri Mar 06 17:39:34 UTC 2026","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","2049","transferFile_azureToS3(Vault)","","Fri Mar 06 17:40:22 UTC 2026","passed","Fri Mar 06 17:40:25 UTC 2026","","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","transferFile_azureToS3"
"","176","discoveryShouldReturn400_whenNoProtocolsAvailable()","","Fri Mar 06 17:40:11 UTC 2026","passed","Fri Mar 06 17:40:12 UTC 2026","","org.eclipse.tractusx.edc.discovery.e2e.ConnectorParameterDiscoveryTest","org.eclipse.tractusx.edc.discovery.e2e.ConnectorParameterDiscoveryTest","discoveryShouldReturn400_whenNoProtocolsAvailable"
